GRID_ID.1,STARTweek_stravaDATE_cast,GRID_ID,ENDweek_stravaDATE_cast,SUM_total_trip_count,EcoCntr_weekly_SUM,MAX_slopePct,STARTweek_Time,HEXid_weekID,HEXid_WeekID,ENDweek_Time,week_id,week_start
BN-62,2023-10-09,BN-62,2023-10-15 23:59:00,550.0,897,,2023-10-09,BN-62_249,BN-62_249,2023-10-15 23:59:00,BN-62_249,2023-10-09
BN-62,2019-09-16,BN-62,2019-09-22 23:59:00,290.0,2219,,2019-09-16,BN-62_37,BN-62_37,2019-09-22 23:59:00,BN-62_37,2019-09-16
BK-32,2023-01-09,BK-32,2023-01-15 23:59:00,1490.0,2317,,2023-01-09,BK-32_210,BK-32_210,2023-01-15 23:59:00,BK-32_210,2023-01-09
BH-26,2020-11-02,BH-26,2020-11-08 23:59:00,6015.0,1095,,2020-11-02,BH-26_96,BH-26_96,2020-11-08 23:59:00,BH-26_96,2020-11-02
BN-62,2021-07-26,BN-62,2021-08-01 23:59:00,1530.0,821,,2021-07-26,BN-62_134,BN-62_134,2021-08-01 23:59:00,BN-62_134,2021-07-26
BD-26,2021-01-11,BD-26,2021-01-17 23:59:00,145.0,513,,2021-01-11,BD-26_106,BD-26_106,2021-01-17 23:59:00,BD-26_106,2021-01-11
BH-24,2023-11-13,BH-24,2023-11-19 23:59:00,1250.0,1455,,2023-11-13,BH-24_254,BH-24_254,2023-11-19 23:59:00,BH-24_254,2023-11-13
BC-12,2019-10-07,BC-12,2019-10-13 23:59:00,10680.0,4904,,2019-10-07,BC-12_40,BC-12_40,2019-10-13 23:59:00,BC-12_40,2019-10-07
BD-26,2019-02-11,BD-26,2019-02-17 23:59:00,30.0,229,,2019-02-11,BD-26_6,BD-26_6,2019-02-17 23:59:00,BD-26_6,2019-02-11
BQ-25,2019-04-22,BQ-25,2019-04-28 23:59:00,710.0,0,,2019-04-22,BQ-25_16,BQ-25_16,2019-04-28 23:59:00,BQ-25_16,2019-04-22
BH-26,2022-11-14,BH-26,2022-11-20 23:59:00,710.0,306,,2022-11-14,BH-26_202,BH-26_202,2022-11-20 23:59:00,BH-26_202,2022-11-14
BT-26,2021-06-07,BT-26,2021-06-13 23:59:00,695.0,6065,,2021-06-07,BT-26_127,BT-26_127,2021-06-13 23:59:00,BT-26_127,2021-06-07
BH-24,2023-09-04,BH-24,2023-09-10 23:59:00,5120.0,2708,,2023-09-04,BH-24_244,BH-24_244,2023-09-10 23:59:00,BH-24_244,2023-09-04
BD-26,2021-03-22,BD-26,2021-03-28 23:59:00,370.0,1469,,2021-03-22,BD-26_116,BD-26_116,2021-03-28 23:59:00,BD-26_116,2021-03-22
BC-12,2022-04-04,BC-12,2022-04-10 23:59:00,8975.0,1511,,2022-04-04,BC-12_170,BC-12_170,2022-04-10 23:59:00,BC-12_170,2022-04-04
BD-17,2019-12-30,BD-17,2020-01-05 23:59:00,1120.0,676,,2019-12-30,BD-17_52,BD-17_52,2020-01-05 23:59:00,BD-17_52,2019-12-30
BE-19,2020-10-26,BE-19,2020-11-01 23:59:00,6805.0,4100,,2020-10-26,BE-19_95,BE-19_95,2020-11-01 23:59:00,BE-19_95,2020-10-26
BQ-25,2021-03-15,BQ-25,2021-03-21 23:59:00,4510.0,1384,,2021-03-15,BQ-25_115,BQ-25_115,2021-03-21 23:59:00,BQ-25_115,2021-03-15
BD-26,2021-01-04,BD-26,2021-01-10 23:59:00,140.0,591,,2021-01-04,BD-26_105,BD-26_105,2021-01-10 23:59:00,BD-26_105,2021-01-04
BQ-25,2022-02-21,BQ-25,2022-02-27 23:59:00,1405.0,437,,2022-02-21,BQ-25_164,BQ-25_164,2022-02-27 23:59:00,BQ-25_164,2022-02-21
